Date|petrol price in GBP/litre|diesel price in GBP/litre
2024-01-01|1.4078|1.4866
2024-01-02|1.4078|1.4866
2024-01-03|1.4078|1.4866
2024-01-04|1.4078|1.4866
2024-01-05|1.4078|1.4866
2024-01-06|1.4078|1.4866
2024-01-07|1.4078|1.4866
2024-01-08|1.3972|1.4821
2024-01-09|1.3972|1.4821
2024-01-10|1.3972|1.4821
2024-01-11|1.3972|1.4821
2024-01-12|1.3972|1.4821
2024-01-13|1.3972|1.4821
2024-01-14|1.3972|1.4821
2024-01-15|1.3972|1.4821
2024-01-16|1.3972|1.4821
2024-01-17|1.3972|1.4821
2024-01-18|1.3972|1.4821
2024-01-19|1.3972|1.4821
2024-01-20|1.3972|1.4821
2024-01-21|1.3972|1.4821
2024-01-22|1.3972|1.4821
2024-01-23|1.3972|1.4821
2024-01-24|1.3972|1.4821
2024-01-25|1.3972|1.4821
2024-01-26|1.3972|1.4821
2024-01-27|1.3972|1.4821
2024-01-28|1.3972|1.4821
2024-01-29|1.3972|1.4821
2024-01-30|1.3972|1.4821
2024-01-31|1.3972|1.4821
2024-02-01|1.3972|1.4821
2024-02-02|1.3972|1.4821
2024-02-03|1.3972|1.4821
2024-02-04|1.3972|1.4821
2024-02-05|1.4055|1.4935
2024-02-06|1.4055|1.4935
2024-02-07|1.4055|1.4935
2024-02-08|1.4055|1.4935
2024-02-09|1.4055|1.4935
2024-02-10|1.4055|1.4935
2024-02-11|1.4055|1.4935
2024-02-12|1.4128|1.5028
2024-02-13|1.4128|1.5028
2024-02-14|1.4128|1.5028
2024-02-15|1.4128|1.5028
2024-02-16|1.4128|1.5028
2024-02-17|1.4128|1.5028
2024-02-18|1.4128|1.5028
2024-02-19|1.4128|1.5028
2024-02-20|1.4128|1.5028
2024-02-21|1.4128|1.5028
2024-02-22|1.4128|1.5028
2024-02-23|1.4128|1.5028
2024-02-24|1.4128|1.5028
2024-02-25|1.4128|1.5028
2024-02-26|1.4128|1.5028
2024-02-27|1.4128|1.5028
2024-02-28|1.4128|1.5028
2024-02-29|1.4128|1.5028
2024-03-01|1.4128|1.5028
2024-03-02|1.4128|1.5028
2024-03-03|1.4128|1.5028
2024-03-04|1.4473|1.5453
2024-03-05|1.4473|1.5453
2024-03-06|1.4473|1.5453
2024-03-07|1.4473|1.5453
2024-03-08|1.4473|1.5453
2024-03-09|1.4473|1.5453
2024-03-10|1.4473|1.5453
2024-03-11|1.447|1.5429
2024-03-12|1.447|1.5429
2024-03-13|1.447|1.5429
2024-03-14|1.447|1.5429
2024-03-15|1.447|1.5429
2024-03-16|1.447|1.5429
2024-03-17|1.447|1.5429
2024-03-18|1.447|1.5429
2024-03-19|1.447|1.5429
2024-03-20|1.447|1.5429
2024-03-21|1.447|1.5429
2024-03-22|1.447|1.5429
